english,chinese,pos,example,tags
abate,"减弱; 减少",verb,"The storm began to abate.",gre;starter
aberrant,"异常的; 偏离常规的",adjective,"The result was aberrant and required review.",gre;starter
acumen,"敏锐; 洞察力",noun,"Her financial acumen helped the team.",gre;starter
admonish,"告诫; 责备",verb,"The mentor admonished him to check the data.",gre;starter
alacrity,"欣然; 敏捷",noun,"She accepted the task with alacrity.",gre;starter
ambivalent,"矛盾的; 犹豫不决的",adjective,"He felt ambivalent about the offer.",gre;starter
ameliorate,"改善; 改良",verb,"The new process should ameliorate delays.",gre;starter
anachronistic,"时代错误的; 过时的",adjective,"The costume looked anachronistic.",gre;starter
anomaly,"异常; 反常现象",noun,"The spike was an anomaly in the data.",gre;starter
antipathy,"反感; 厌恶",noun,"She had an antipathy to needless meetings.",gre;starter
apathy,"冷漠; 缺乏兴趣",noun,"Apathy can weaken civic life.",gre;starter
arduous,"艰难的; 费力的",adjective,"The hike was arduous but rewarding.",gre;starter
assuage,"缓和; 减轻",verb,"The explanation helped assuage concerns.",gre;starter
audacious,"大胆的; 鲁莽的",adjective,"It was an audacious proposal.",gre;starter
austere,"朴素的; 严厉的",adjective,"The room had an austere design.",gre;starter
bolster,"支持; 加强",verb,"The evidence may bolster the claim.",gre;starter
candid,"坦率的; 直言不讳的",adjective,"She gave a candid answer.",gre;starter
capricious,"反复无常的",adjective,"The policy seemed capricious.",gre;starter
lucid,"清晰的; 明白易懂的",adjective,"The explanation was lucid.",gre;starter
mitigate,"减轻; 缓和",verb,"The policy may mitigate the risk.",gre;starter
